"","funding_round_investment_type","funding_round_year","funding_round_amount_usd_per_invsestor","funding_round_investor_count","investee_category_1","investee_category_2","investee_category_3","investee_category_groups_1","investee_category_groups_2","investee_category_groups_3","investee_employee_count","investee_org_founded_on","investee_org_name","investee_city_region_country","investee_urban_center_final","investee_country_code","investee_world_region","investee_world_sub_region","investor_name","investor_type","investor_class_1","investor_class_3","investor_class_2","investor_investment_count","investor_total_funding_usd","investor_category_list_1","investor_category_list_2","investor_category_list_3","investor_category_group_1","investor_category_group_2","investor_category_group_3","investor_employee_count","investor_city_region_country","investor_urban_center_final","investor_country_code","investor_world_region","investor_world_sub_region","investment_source","distance_km","investor_uuid","investee_org_uuid","funding_round_uuid"
"740","series_a",2007,130000,5,"Blogging Platforms","E-Commerce","E-Commerce Platforms","Commerce and Shopping","Content and Publishing","Internet Services","1001-5000",NA,"Weebly","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Floodgate","organization","micro_vc",NA,"venture_capital",369,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.7503748209321,"03dab4e0-022c-0c56-b92e-b649077cdcfa","8adae63e-fac9-89fc-fcdf-3f161498ddd0","257e5944-e430-fdba-2f0a-451775b375fb"
"741","series_a",2007,130000,5,"Blogging Platforms","E-Commerce","E-Commerce Platforms","Commerce and Shopping","Content and Publishing","Internet Services","1001-5000",NA,"Weebly","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Paul Buchheit","person","investment_partner",NA,"angel",170,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",52.5691904386858,"564bdcf3-8bf7-4040-dac2-072af3e72e6f","8adae63e-fac9-89fc-fcdf-3f161498ddd0","257e5944-e430-fdba-2f0a-451775b375fb"
"742","series_a",2005,8750000,1,"Apps","Internet","Peer to Peer","Apps","Internet Services","Other","51-100",NA,"BitTorrent","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","DCM Ventures","organization","private_equity_firm",NA,"venture_capital",622,NA,"Finance","Impact Investing","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"7e7190a0-ec35-47f3-5c0f-6af756b95d5f","7066da9d-c52d-a95a-c34f-937f7667efc9","4ddf1b82-1a8d-0542-7409-7f48f4c3229f"
"743","series_b",2006,1e+07,2,"Apps","Internet","Peer to Peer","Apps","Internet Services","Other","51-100",NA,"BitTorrent","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Accel","organization","venture_capital",NA,NA,1940,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"501-1000","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.7503748209321,"b08efc27-da40-505a-6f9d-c9e14247bf36","7066da9d-c52d-a95a-c34f-937f7667efc9","793e2876-ab0c-01b7-270c-23e7337842b4"
"744","series_b",2006,1e+07,2,"Apps","Internet","Peer to Peer","Apps","Internet Services","Other","51-100",NA,"BitTorrent","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","DCM Ventures","organization","private_equity_firm",NA,"venture_capital",622,NA,"Finance","Impact Investing","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"7e7190a0-ec35-47f3-5c0f-6af756b95d5f","7066da9d-c52d-a95a-c34f-937f7667efc9","793e2876-ab0c-01b7-270c-23e7337842b4"
"745","series_c",2006,23333333.3333333,3,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Oak Investment Partners","organization","private_equity_firm",NA,"venture_capital",402,NA,"Angel Investment","Business Development","Finance","Financial Services","Lending and Investments","Professional Services","1-10","Greenwich, Connecticut, USA","New York, Connecticut, USA","USA","Americas","Northern America","outside",4144.70130597371,"36feed26-9375-138b-3eef-e1e00faa858f","89a3d976-2695-86fb-1e2b-fa0e46517639","8db1738c-526b-b397-38d9-cccfce0431e3"
"746","series_c",2006,23333333.3333333,3,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Menlo Ventures","organization","venture_capital",NA,NA,759,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"51-100","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",13.1005167601816,"a34c63f0-c277-3e4b-bbfc-1868ca81596d","89a3d976-2695-86fb-1e2b-fa0e46517639","8db1738c-526b-b397-38d9-cccfce0431e3"
"747","series_c",2006,23333333.3333333,3,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Redpoint","organization","venture_capital",NA,NA,741,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"51-100","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.3091679974629,"d29973c3-95ec-691d-defd-6a6ba713c72a","89a3d976-2695-86fb-1e2b-fa0e46517639","8db1738c-526b-b397-38d9-cccfce0431e3"
"748","series_b",2004,5e+06,3,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Menlo Ventures","organization","venture_capital",NA,NA,759,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"51-100","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",13.1005167601816,"a34c63f0-c277-3e4b-bbfc-1868ca81596d","89a3d976-2695-86fb-1e2b-fa0e46517639","7374e1d8-5310-66ea-372a-ede1367a23a7"
"749","series_b",2004,5e+06,3,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Redpoint","organization","venture_capital",NA,NA,741,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"51-100","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.3091679974629,"d29973c3-95ec-691d-defd-6a6ba713c72a","89a3d976-2695-86fb-1e2b-fa0e46517639","7374e1d8-5310-66ea-372a-ede1367a23a7"
"750","series_b",2004,5e+06,3,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Gefinor Capital","organization","private_equity_firm",NA,"venture_capital",37,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","outside",4120.57706531301,"0c73d77d-42b7-ee87-6b0d-800a14967ac5","89a3d976-2695-86fb-1e2b-fa0e46517639","7374e1d8-5310-66ea-372a-ede1367a23a7"
"751","series_c",2006,5e+06,6,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Adobe Ventures","organization","venture_capital",NA,NA,31,NA,"Enterprise Software","Events","Venture Capital","Events","Financial Services","Lending and Investments","10000+","San Jose, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",65.2631574903631,"c6a515d7-1b0e-634f-33c5-1808cd655abb","89a3d976-2695-86fb-1e2b-fa0e46517639","feb0bdef-1576-e4b2-f873-f2318717c4f8"
"752","series_c",2006,5e+06,6,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Hearst Ventures","organization","corporate_venture_capital",NA,NA,167,NA,"Information Services","Media and Entertainment","Software","Financial Services","Information Technology","Lending and Investments","11-50","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","outside",4120.57706531301,"7671a683-dfb6-a12b-9c1d-d1b29b011d54","89a3d976-2695-86fb-1e2b-fa0e46517639","feb0bdef-1576-e4b2-f873-f2318717c4f8"
"753","series_c",2006,5e+06,6,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Oak Investment Partners","organization","private_equity_firm",NA,"venture_capital",402,NA,"Angel Investment","Business Development","Finance","Financial Services","Lending and Investments","Professional Services","1-10","Greenwich, Connecticut, USA","New York, Connecticut, USA","USA","Americas","Northern America","outside",4144.70130597371,"36feed26-9375-138b-3eef-e1e00faa858f","89a3d976-2695-86fb-1e2b-fa0e46517639","feb0bdef-1576-e4b2-f873-f2318717c4f8"
"754","series_c",2006,5e+06,6,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Menlo Ventures","organization","venture_capital",NA,NA,759,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"51-100","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",13.1005167601816,"a34c63f0-c277-3e4b-bbfc-1868ca81596d","89a3d976-2695-86fb-1e2b-fa0e46517639","feb0bdef-1576-e4b2-f873-f2318717c4f8"
"755","series_c",2006,5e+06,6,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Redpoint","organization","venture_capital",NA,NA,741,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"51-100","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.3091679974629,"d29973c3-95ec-691d-defd-6a6ba713c72a","89a3d976-2695-86fb-1e2b-fa0e46517639","feb0bdef-1576-e4b2-f873-f2318717c4f8"
"756","series_c",2006,5e+06,6,"Digital Entertainment","Mobile","TV","Content and Publishing","Media and Entertainment","Mobile","251-500",NA,"MobiTV","Emeryville, California, USA","California Bay Area, USA","USA","Americas","Northern America","Gefinor Capital","organization","private_equity_firm",NA,"venture_capital",37,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","outside",4120.57706531301,"0c73d77d-42b7-ee87-6b0d-800a14967ac5","89a3d976-2695-86fb-1e2b-fa0e46517639","feb0bdef-1576-e4b2-f873-f2318717c4f8"
"757","series_a",2007,250000,4,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Reid Hoffman","person","investment_partner",NA,"angel",85,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"6bbee73e-72ca-be5f-9cd2-ddc54a8b237f","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","991150f7-246d-64a7-f341-14ffcd17c563"
"758","series_a",2007,250000,4,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Joe Kraus","person","investment_partner",NA,"angel",12,NA,"Last Mile Transportation","Mobile Apps","Ride Sharing","Apps","Mobile","Software","501-1000","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.7503748209321,"72e7b08f-f532-f0fe-bcdd-6f722154f771","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","991150f7-246d-64a7-f341-14ffcd17c563"
"759","series_a",2007,250000,4,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Richard Wolpert","person","investment_partner",NA,"angel",18,NA,"Business Development","Financial Services","Venture Capital","Financial Services","Lending and Investments","Professional Services","11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"7e1345ee-1c0c-8a55-204e-dd08863284f2","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","991150f7-246d-64a7-f341-14ffcd17c563"
"760","series_a",2007,250000,4,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Jeff Clavier","person","investment_partner",NA,"angel",20,NA,"Consumer","Financial Services","Marketplace","Commerce and Shopping","Financial Services","Lending and Investments","1-10","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"36e9312e-6391-2dae-5ea6-5c213daa1077","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","991150f7-246d-64a7-f341-14ffcd17c563"
"761","series_b",2007,1e+06,5,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Greylock","organization","venture_capital",NA,NA,844,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"e2006571-6b7a-e477-002a-f7014f48a7e3","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","5768770b-57b4-563a-20ec-1136fe037393"
"762","series_b",2007,1e+06,5,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Reid Hoffman","person","investment_partner",NA,"angel",85,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"6bbee73e-72ca-be5f-9cd2-ddc54a8b237f","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","5768770b-57b4-563a-20ec-1136fe037393"
"763","series_b",2007,1e+06,5,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Richard Wolpert","person","investment_partner",NA,"angel",18,NA,"Business Development","Financial Services","Venture Capital","Financial Services","Lending and Investments","Professional Services","11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"7e1345ee-1c0c-8a55-204e-dd08863284f2","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","5768770b-57b4-563a-20ec-1136fe037393"
"764","series_b",2007,1e+06,5,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Joe Kraus","person","investment_partner",NA,"angel",12,NA,"Last Mile Transportation","Mobile Apps","Ride Sharing","Apps","Mobile","Software","501-1000","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.7503748209321,"72e7b08f-f532-f0fe-bcdd-6f722154f771","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","5768770b-57b4-563a-20ec-1136fe037393"
"765","series_b",2007,1e+06,5,"Casual Games","Gaming","Internet","Gaming","Internet Services","Mobile","51-100",NA,"Kongregate","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Jeff Clavier","person","investment_partner",NA,"angel",20,NA,"Consumer","Financial Services","Marketplace","Commerce and Shopping","Financial Services","Lending and Investments","1-10","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",42.1969729667974,"36e9312e-6391-2dae-5ea6-5c213daa1077","51ef0cda-09c1-f1ce-3a68-42319f27b4ce","5768770b-57b4-563a-20ec-1136fe037393"
"766","seed",2007,15000,1,"Android","Finance","iOS","Data and Analytics","Financial Services","Information Technology","11-50",NA,"Brightkite","Burlingame, California, USA","California Bay Area, USA","USA","Americas","Northern America","Techstars","organization","accelerator",NA,"venture_capital",5572,108919999,"Consulting","Finance","Financial Services","Commerce and Shopping","Energy","Financial Services","251-500","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","outside",1503.7538020315,"3718597a-dd39-6661-3630-09cdd43bcac2","541cf2e7-5123-3f5d-8328-b7052c7e8d3c","58f3fd3d-5d83-c2e6-556c-e8ed81713649"
"767","seed",2007,15000,1,"Advertising","Content","Finance","Advertising","Financial Services","Internet Services","11-50",NA,"Filtrbox","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","Techstars","organization","accelerator",NA,"venture_capital",5572,108919999,"Consulting","Finance","Financial Services","Commerce and Shopping","Energy","Financial Services","251-500","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","outside",1491.93664101134,"3718597a-dd39-6661-3630-09cdd43bcac2","f8af0817-50c5-0b9d-8613-7b2af0b89a28","8ee72131-1e8a-ac55-5b33-2278f442845e"
"768","seed",2007,15000,1,"Digital Media","Finance","Social Media","Financial Services","Internet Services","Media and Entertainment","1-10",NA,"Localcents, Inc. (Villij.com)","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","Techstars","organization","accelerator",NA,"venture_capital",5572,108919999,"Consulting","Finance","Financial Services","Commerce and Shopping","Energy","Financial Services","251-500","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","inside",0,"3718597a-dd39-6661-3630-09cdd43bcac2","a9c0d789-322f-73a1-c5fe-893a6bd378fc","7fd1c503-22a8-5063-7927-c00b2960e59d"
"769","seed",2007,15000,1,"Finance","FinTech","Messaging","Financial Services","Information Technology","Internet Services","unknown",NA,"Search to Phone","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","Techstars","organization","accelerator",NA,"venture_capital",5572,108919999,"Consulting","Finance","Financial Services","Commerce and Shopping","Energy","Financial Services","251-500","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","inside",0,"3718597a-dd39-6661-3630-09cdd43bcac2","a53970c2-0e5d-636e-1d06-6083a4fe7d90","e0c7f31c-67c5-0057-e8eb-1cb2ef4420d5"
"770","seed",2007,15000,1,"Finance","Social Media",NA,"Financial Services","Internet Services","Media and Entertainment","1-10",NA,"J Squared Media","Philadelphia, Pennsylvania, USA","Philadelphia, Pennsylvania, USA","USA","Americas","Northern America","Techstars","organization","accelerator",NA,"venture_capital",5572,108919999,"Consulting","Finance","Financial Services","Commerce and Shopping","Energy","Financial Services","251-500","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","outside",2555.63141565014,"3718597a-dd39-6661-3630-09cdd43bcac2","65a193d2-c777-ee85-b30b-d000793b2187","1a1b6432-5272-ae38-ce6d-dbc9c9638fdd"
"771","seed",2007,15000,1,"Finance","Web Hosting",NA,"Financial Services","Internet Services",NA,"1-10",NA,"Socialthing","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","Techstars","organization","accelerator",NA,"venture_capital",5572,108919999,"Consulting","Finance","Financial Services","Commerce and Shopping","Energy","Financial Services","251-500","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","inside",0,"3718597a-dd39-6661-3630-09cdd43bcac2","6febb010-e6f0-a6c4-2283-44e954980ba0","278d44b4-463a-6632-6cab-5f0956a10319"
"772","seed",2007,15000,1,"Events","Finance","FinTech","Events","Financial Services","Media and Entertainment","1-10",NA,"EventVue","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","Techstars","organization","accelerator",NA,"venture_capital",5572,108919999,"Consulting","Finance","Financial Services","Commerce and Shopping","Energy","Financial Services","251-500","Boulder, Colorado, USA","Boulder, USA","USA","Americas","Northern America","inside",0,"3718597a-dd39-6661-3630-09cdd43bcac2","9d92578e-a7df-6e08-296f-4f0be4191339","0455fe63-0c83-8bf2-dcc0-01b4591dad53"
"773","seed",2007,7500,2,"Music","Music Streaming",NA,"Internet Services","Media and Entertainment","Music and Audio","1-10",NA,"Wolf - Band Radio","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Y Combinator","organization","accelerator",NA,NA,5895,0,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",52.5691904386858,"73633ee4-ea65-2967-6c5d-9b5fec7d2d5e","354446ed-9a91-8613-b6f9-9da5decbea67","e46fc347-a302-c031-b4dc-4d54139893c9"
"774","seed",2007,7500,2,"Music","Music Streaming",NA,"Internet Services","Media and Entertainment","Music and Audio","1-10",NA,"Wolf - Band Radio","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Wayne Crosby","person","angel",NA,NA,8,NA,"Artificial Intelligence","Human Resources","Machine Learning","Administrative Services","Artificial Intelligence","Data and Analytics","51-100","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"43f92788-42f7-bfcd-ce81-a17424af512d","354446ed-9a91-8613-b6f9-9da5decbea67","e46fc347-a302-c031-b4dc-4d54139893c9"
"775","series_a",2010,1e+06,1,"Big Data","Cloud Computing","Enterprise Software","Data and Analytics","Internet Services","Software","51-100",NA,"Cloudant","Boston, Massachusetts, USA","Boston, Massachusetts, USA","USA","Americas","Northern America","Avalon Ventures","organization","venture_capital",NA,NA,183,NA,"Biotechnology","Financial Services","Incubators","Biotechnology","Financial Services","Health Care","1-10","La Jolla, California, USA","San Diego (Tijuana), USA","USA","Americas","Northern America","outside",4157.27095333123,"58b62e32-dc64-49e5-ff38-1fd7ad67bc3e","e212a930-25b3-2de3-3c6c-19f0965fcb47","fdc4b7b2-4bc2-9fdb-3c4b-81ca5e147b8b"
"776","seed",2007,NA,1,"Peer to Peer","Search Engine","Video","Internet Services","Media and Entertainment","Other","1-10",NA,"SlapVid","Pittsburgh, Pennsylvania, USA","Pittsburgh, USA","USA","Americas","Northern America","Y Combinator","organization","accelerator",NA,NA,5895,0,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",3627.19783599828,"73633ee4-ea65-2967-6c5d-9b5fec7d2d5e","ab360f00-7e63-6e1d-8fd0-290325d567d7","c2fcbe0f-fc1c-b117-70a0-df37ee7b1540"
"777","series_a",1999,3125000,8,"Advertising","Collaboration","Enterprise Software","Advertising","Information Technology","Internet Services","10000+",NA,"Google","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","Sequoia Capital","organization","venture_capital",NA,NA,1839,NA,"Business Development","Finance","Financial Services","Financial Services","Lending and Investments","Professional Services","101-250","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",10.8970391874728,"0c867fde-2b9a-df10-fdb9-66b74f355f91","6acfa7da-1dbd-936e-d985-cf07a1b27711","6c4715f9-41c0-136f-d5e4-ac72ddf57d99"
"778","series_a",1999,3125000,8,"Advertising","Collaboration","Enterprise Software","Advertising","Information Technology","Internet Services","10000+",NA,"Google","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","Kleiner Perkins","organization","venture_capital",NA,NA,1383,NA,"Finance","Financial Services","Incubators","Financial Services","Lending and Investments",NA,"251-500","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",10.8970391874728,"2d0a5bf0-e53e-9a07-2243-9bcd561421ec","6acfa7da-1dbd-936e-d985-cf07a1b27711","6c4715f9-41c0-136f-d5e4-ac72ddf57d99"
"779","series_a",1999,3125000,8,"Advertising","Collaboration","Enterprise Software","Advertising","Information Technology","Internet Services","10000+",NA,"Google","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","Signatures Capital","organization","micro_vc",NA,NA,125,NA,"Venture Capital",NA,NA,"Financial Services","Lending and Investments",NA,"1-10","Redwood Shores, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",21.5334681833196,"c6cc1056-c1f7-f512-fdfb-1ef723fb52b6","6acfa7da-1dbd-936e-d985-cf07a1b27711","6c4715f9-41c0-136f-d5e4-ac72ddf57d99"
"780","series_a",1999,3125000,8,"Advertising","Collaboration","Enterprise Software","Advertising","Information Technology","Internet Services","10000+",NA,"Google","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","Angel Investors LP","organization","venture_capital",NA,NA,9,NA,"Consulting","Crowdfunding","Financial Services","Financial Services","Lending and Investments","Professional Services","unknown","Los Angeles, California, USA","Los Angeles, USA","USA","Americas","Northern America","outside",508.1835251884,"39f0729e-3722-0ef5-a7a5-3a03790b0d64","6acfa7da-1dbd-936e-d985-cf07a1b27711","6c4715f9-41c0-136f-d5e4-ac72ddf57d99"
"781","series_a",1999,3125000,8,"Advertising","Collaboration","Enterprise Software","Advertising","Information Technology","Internet Services","10000+",NA,"Google","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","Tiger Woods","person","angel",NA,NA,1,NA,"Sports",NA,NA,"Sports",NA,NA,"251-500","Jupiter, Florida, USA","Jupiter, USA","USA","Americas","Northern America","outside",4087.86740820834,"cd9bac8a-13bd-bacb-093b-caf76db07dd3","6acfa7da-1dbd-936e-d985-cf07a1b27711","6c4715f9-41c0-136f-d5e4-ac72ddf57d99"
"782","series_a",1999,3125000,8,"Advertising","Collaboration","Enterprise Software","Advertising","Information Technology","Internet Services","10000+",NA,"Google","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","Shaquille O'Neal","person","angel",NA,NA,6,NA,"Finance","Financial Services","FinTech","Financial Services",NA,NA,"51-100","Newark, New Jersey, USA","New York, New Jersey, USA","USA","Americas","Northern America","outside",4106.51147097033,"d5b91775-0752-78fc-97be-2c93016953a1","6acfa7da-1dbd-936e-d985-cf07a1b27711","6c4715f9-41c0-136f-d5e4-ac72ddf57d99"
"783","series_a",1999,3125000,8,"Advertising","Collaboration","Enterprise Software","Advertising","Information Technology","Internet Services","10000+",NA,"Google","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","Arnold Schwarzenegger","person","angel",NA,NA,5,NA,"Association",NA,NA,"Other",NA,NA,"1-10","Los Angeles, California, USA","Los Angeles, USA","USA","Americas","Northern America","outside",508.1835251884,"70b86cef-6fe8-0292-8e8e-56b3e7d11420","6acfa7da-1dbd-936e-d985-cf07a1b27711","6c4715f9-41c0-136f-d5e4-ac72ddf57d99"
"784","seed",2007,2e+05,5,"Art","Content","Crowdfunding","Clothing and Apparel","Content and Publishing","Design","11-50",NA,"Zivity","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Vipul Ved Prakash","person","angel",NA,NA,4,NA,"Analytics","Real Time","Search Engine","Data and Analytics","Internet Services","Media and Entertainment","51-100","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"0029836e-5dec-d285-c440-00d33464ede2","60eb7215-061c-03cd-fdc5-b64a2bddbf5a","bfefb786-62b6-73ff-ee37-06fd7368dc12"
"785","seed",2007,2e+05,5,"Art","Content","Crowdfunding","Clothing and Apparel","Content and Publishing","Design","11-50",NA,"Zivity","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Cyan Banister","person","investment_partner",NA,"angel",103,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","inside",0,"67ae31b5-9f5e-6ea2-1fbb-ba34b6c7f5de","60eb7215-061c-03cd-fdc5-b64a2bddbf5a","bfefb786-62b6-73ff-ee37-06fd7368dc12"
