"","funding_round_investment_type","funding_round_year","funding_round_amount_usd_per_invsestor","funding_round_investor_count","investee_category_1","investee_category_2","investee_category_3","investee_category_groups_1","investee_category_groups_2","investee_category_groups_3","investee_employee_count","investee_org_founded_on","investee_org_name","investee_city_region_country","investee_urban_center_final","investee_country_code","investee_world_region","investee_world_sub_region","investor_name","investor_type","investor_class_1","investor_class_3","investor_class_2","investor_investment_count","investor_total_funding_usd","investor_category_list_1","investor_category_list_2","investor_category_list_3","investor_category_group_1","investor_category_group_2","investor_category_group_3","investor_employee_count","investor_city_region_country","investor_urban_center_final","investor_country_code","investor_world_region","investor_world_sub_region","investment_source","distance_km","investor_uuid","investee_org_uuid","funding_round_uuid"
"1733","angel",2007,133333.333333333,3,"Auctions","E-Commerce","Internet","Commerce and Shopping","Internet Services","Software","1-10",NA,"Auctomatic","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Paul Buchheit","person","investment_partner",NA,"angel",170,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",52.5691904386858,"564bdcf3-8bf7-4040-dac2-072af3e72e6f","39f1ccfb-cba5-8f4c-a75d-48fcbed57dd7","35a991e9-ce2f-38b6-3e85-30d7813a0ce7"
"1734","angel",2007,133333.333333333,3,"Auctions","E-Commerce","Internet","Commerce and Shopping","Internet Services","Software","1-10",NA,"Auctomatic","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Chris Sacca","person","investment_partner",NA,"angel",41,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","Truckee, California, USA","Truckee, USA","USA","Americas","Northern America","outside",260.067139917522,"9391eef8-5161-48fa-4384-531146354639","39f1ccfb-cba5-8f4c-a75d-48fcbed57dd7","35a991e9-ce2f-38b6-3e85-30d7813a0ce7"
"1735","angel",2007,133333.333333333,3,"Auctions","E-Commerce","Internet","Commerce and Shopping","Internet Services","Software","1-10",NA,"Auctomatic","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","Y Combinator","organization","accelerator",NA,NA,5895,0,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Mountain View, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",52.5691904386858,"73633ee4-ea65-2967-6c5d-9b5fec7d2d5e","39f1ccfb-cba5-8f4c-a75d-48fcbed57dd7","35a991e9-ce2f-38b6-3e85-30d7813a0ce7"
"1736","series_a",2007,1500000,1,"Advertising","Advertising Platforms","Artificial Intelligence","Advertising","Artificial Intelligence","Content and Publishing","1001-5000",NA,"Taboola","New York, New York, USA","New York, New York, USA","USA","Americas","Northern America","Evergreen Venture Partners","organization","micro_vc",NA,NA,95,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Tel Aviv, Tel Aviv, ISR","Tel Aviv, ISR","ISR","Asia","Western Asia","outside",9125.20416962758,"3fa28a3f-f259-71c9-dcc7-03fbf7132752","d490a381-81fd-7298-66ea-6de8940d4e58","5b348aaf-c088-9da3-6ef3-9f960eb8a687"
"1737","series_a",2006,2e+06,1,"File Sharing","Social Media","Web Hosting","Internet Services","Media and Entertainment","Software","51-100",NA,"eSnips","Herzliya, Tel Aviv, ISR","Tel Aviv, ISR","ISR","Asia","Western Asia","Gemini Israel Ventures","organization","venture_capital",NA,NA,139,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"11-50","Herzliya, Tel Aviv, ISR","Tel Aviv, ISR","ISR","Asia","Western Asia","inside",0,"00512295-30cd-2ec6-2ded-ea51b3aed16d","51a37df4-2049-13df-4e08-c1cad2bc292b","b63bb689-afaa-f1d2-5463-dae294c4f9d0"
"1738","series_a",2007,2e+06,1,"Information Technology","Online Auctions",NA,"Commerce and Shopping","Information Technology",NA,"11-50",NA,"Four Interactive","Bangalore, Karnataka, IND","Bengaluru, IND","IND","Asia","Southern Asia","Matrix Partners","organization","venture_capital",NA,NA,655,NA,"Computer Vision","Consumer","Enterprise","Financial Services","Hardware","Internet Services","11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",14015.0359457889,"0e09f1a3-ab17-d2d6-80a4-4425f38e4078","9f3ea863-61bb-da61-30bf-96dfa39d9608","bb97ac06-bff7-3419-d44c-e1053e2a2c4e"
"1739","series_b",2007,3333333.33333333,3,"Information Technology","Online Auctions",NA,"Commerce and Shopping","Information Technology",NA,"11-50",NA,"Four Interactive","Bangalore, Karnataka, IND","Bengaluru, IND","IND","Asia","Southern Asia","Matrix Partners","organization","venture_capital",NA,NA,655,NA,"Computer Vision","Consumer","Enterprise","Financial Services","Hardware","Internet Services","11-50","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",14015.0359457889,"0e09f1a3-ab17-d2d6-80a4-4425f38e4078","9f3ea863-61bb-da61-30bf-96dfa39d9608","a0ef5f6e-0c69-a906-0c16-49c076999336"
"1740","series_b",2007,3333333.33333333,3,"Information Technology","Online Auctions",NA,"Commerce and Shopping","Information Technology",NA,"11-50",NA,"Four Interactive","Bangalore, Karnataka, IND","Bengaluru, IND","IND","Asia","Southern Asia","Lightspeed Venture Partners","organization","venture_capital",NA,NA,1271,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"101-250","Menlo Park, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",14056.9873733367,"d5df3873-7871-c608-0284-c74d0b555ccd","9f3ea863-61bb-da61-30bf-96dfa39d9608","a0ef5f6e-0c69-a906-0c16-49c076999336"
"1741","series_b",2007,3333333.33333333,3,"Information Technology","Online Auctions",NA,"Commerce and Shopping","Information Technology",NA,"11-50",NA,"Four Interactive","Bangalore, Karnataka, IND","Bengaluru, IND","IND","Asia","Southern Asia","Silicon Valley Bank","organization","investment_bank",NA,NA,845,NA,"Banking","Consulting","Financial Services","Financial Services","Lending and Investments","Professional Services","5001-10000","Santa Clara, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",14074.9484436019,"4eee5e60-3b06-6fe8-cc2c-29119a96051d","9f3ea863-61bb-da61-30bf-96dfa39d9608","a0ef5f6e-0c69-a906-0c16-49c076999336"
"1742","series_a",2007,1e+06,3,"Consumer","Internet","Machine Learning","Artificial Intelligence","Data and Analytics","Information Technology","1-10",NA,"Project Playlist","Palo Alto, California, USA","California Bay Area, USA","USA","Americas","Northern America","Owen Van Natta","person","investment_partner",NA,"angel",33,NA,"Finance","Financial Services","Venture Capital","Financial Services","Lending and Investments",NA,"1-10","San Francisco, California, USA","California Bay Area, USA","USA","Americas","Northern America","outside",43.7503748209321,"d3ae96f0-4442-720f-1ec2-fc28eac94e53","7a705767-669a-9342-ad65-f599463cdba6","606198ad-7be3-c845-0b29-918fd92ca7b5"
